Lokasi,Harga (Miliar),Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
Jakarta Selatan,1.83,100,60,3,3,0,2
Jakarta Selatan,1.83,100,60,3,3,0,2
Jakarta Selatan,1.83,100,60,3,3,0,2
Jakarta Selatan,1.83,100,60,3,3,0,2
Jakarta Barat,1.85,76,104,2,1,1,1
Jakarta Barat,1.85,102,64,3,3,2,1
Jakarta Barat,1.85,156,108,3,2,1,2
Jakarta Barat,1.85,123,75,4,3,0,2
Jakarta Timur,1.85,100,96,2,2,0,2
Jakarta Timur,1.85,90,112,3,3,2,2
Jakarta Timur,1.85,150,120,3,2,2,2
Jakarta Timur,1.85,170,144,4,3,2,2
Jakarta Timur,1.85,180,120,4,3,2,2
Jakarta Timur,1.85,140,90,4,3,0,2
Jakarta Utara,1.85,80,108,2,2,0,1
Jakarta Utara,1.85,75,108,3,1,1,1
Jakarta Utara,1.85,150,90,3,2,0,2
Jakarta Utara,1.85,91,60,3,2,0,3
Jakarta Selatan,1.85,104,135,3,3,1,2
Jakarta Selatan,1.85,170,88,4,4,1,2
Jakarta Selatan,1.85,150,101,4,4,0,3
Jakarta Selatan,1.85,160,75,4,4,0,3
Jakarta Selatan,1.85,140,60,3,3,1,3
Jakarta Selatan,1.85,150,101,4,4,0,2.5
Jakarta Selatan,1.85,150,101,4,4,0,2.5
Jakarta Selatan,1.85,150,88,4,4,0,2.5
Jakarta Selatan,1.85,150,86,4,4,0,2.5
Jakarta Selatan,1.85,150,86,4,4,0,2.5
Jakarta Selatan,1.85,150,112,4,4,0,2
Jakarta Selatan,1.85,150,103,3,3,0,2
Jakarta Selatan,1.85,157,101,4,4,0,2
Jakarta Selatan,1.85,157,101,3,4,0,2
Jakarta Timur,1.85,150,90,3,2,0,2
Jakarta Barat,1.85,122,90,3,3,0,2
Jakarta Selatan,1.85,130,86,4,4,0,2
Jakarta Selatan,1.85,130,85,4,4,0,2
Jakarta Selatan,1.85,120,85,4,4,0,2
Jakarta Timur,1.85,90,74,4,2,0,2
Jakarta Timur,1.85,80,72,3,2,0,2
Jakarta Selatan,1.85,140,60,4,3,0,2
Jakarta Barat,1.85,180,135,3,2,0,1
Jakarta Selatan,1.85,150,101,0,0,0,1
Jakarta Timur,1.86,150,162,3,3,0,2
Jakarta Selatan,1.87,140,84,4,4,2,3
Jakarta Pusat,1.87,105,90,2,2,0,1
Jakarta Barat,1.88,188,70,3,4,1,4
Jakarta Selatan,1.88,120,100,4,5,0,2
Jakarta Selatan,1.88,125,75,4,5,0,2
Jakarta Selatan,1.88,125,75,4,4,0,2
Jakarta Timur,1.88,70,94,2,1,0,1
Jakarta Selatan,1.88,120,100,4,5,0,1
Jakarta Selatan,1.88,212,108,9,2,0,2
Jakarta Barat,1.89,120,120,3,3,1,3
Jakarta Barat,1.89,130,48,3,3,0,3
Jakarta Barat,1.89,120,50,3,3,1,3
Jakarta Barat,1.89,130,48,3,2,1,3
Jakarta Timur,1.89,150,128,3,2,2,2
Jakarta Timur,1.89,150,220,4,4,1,2
Jakarta Barat,1.9,176,88,3,2,0,1
Jakarta Barat,1.9,69,84,2,2,1,2
Jakarta Barat,1.9,133,68,3,3,1,2
Jakarta Barat,1.9,160,90,3,2,2,2
Jakarta Barat,1.9,100,90,4,3,1,2
Jakarta Barat,1.9,120,77,4,2,0,2
Jakarta Barat,1.9,90,44,3,3,1,3
Jakarta Timur,1.9,63,90,3,1,2,2
Jakarta Timur,1.9,86,119,4,3,2,2
Jakarta Timur,1.9,256,150,5,4,1,4
Jakarta Timur,1.9,93,84,3,2,1,1
Jakarta Utara,1.9,60,78,2,1,1,1
Jakarta Utara,1.9,120,78,2,2,2,2
Jakarta Utara,1.9,79,60,3,2,1,2
Jakarta Selatan,1.9,110,90,3,2,0,1
Jakarta Selatan,1.9,155,103,3,3,2,2
Jakarta Selatan,1.9,200,130,4,3,3,2
Jakarta Selatan,1.9,165,98,4,3,1,2
Jakarta Selatan,1.9,150,91,5,3,2,2
Jakarta Selatan,1.9,165,86,5,4,0,3.5
Jakarta Timur,1.9,96,160,3,2,0,2
Jakarta Timur,1.9,115,141,3,2,0,2
Jakarta Timur,1.9,210,132,5,5,2,2
Jakarta Timur,1.9,112,121,4,3,1,2
Jakarta Selatan,1.9,130,92,3,3,1,2
Jakarta Selatan,1.9,120,89,4,4,0,2
Jakarta Selatan,1.9,120,81,4,4,0,2
Jakarta Selatan,1.9,130,75,4,4,0,2
Jakarta Selatan,1.9,121,75,4,4,0,2
Jakarta Utara,1.9,82,56,2,2,0,2
Jakarta Timur,1.91,260,145,4,4,0,2
Jakarta Timur,1.91,108,108,3,3,0,2
Jakarta Timur,1.91,260,145,0,0,0,2
Jakarta Selatan,1.92,92,89,3,3,2,2
Jakarta Barat,1.95,64,64,3,3,2,2
Jakarta Barat,1.95,150,90,3,2,0,2
Jakarta Barat,1.95,120,90,3,2,0,2
Jakarta Barat,1.95,100,75,3,3,2,2
Jakarta Barat,1.95,60,60,4,3,2,2
Jakarta Barat,1.95,130,50,3,3,0,3
Jakarta Barat,1.95,138,53,4,3,1,4
Jakarta Timur,1.95,150,102,3,3,0,1
Jakarta Timur,1.95,250,155,4,3,0,1
Jakarta Timur,1.95,210,170,3,3,1,2
Jakarta Timur,1.95,150,136,3,2,2,2
Jakarta Timur,1.95,78,108,3,2,1,2
Jakarta Timur,1.95,90,112,3,3,2,2
Jakarta Timur,1.95,120,102,3,2,1,2
Jakarta Timur,1.95,150,117,4,3,2,2
Jakarta Utara,1.95,150,90,4,3,1,2
Jakarta Selatan,1.95,165,86,5,4,0,3
Jakarta Selatan,1.95,150,61,3,3,0,3
Jakarta Timur,1.95,150,90,3,3,0,2.5
Jakarta Barat,1.95,90,206,2,2,0,2
Jakarta Selatan,1.95,72,153,4,4,0,2
Jakarta Barat,1.95,130,138,4,2,0,2
Jakarta Selatan,1.95,250,120,3,2,0,2
Jakarta Selatan,1.95,186,93,3,2,0,2
Jakarta Selatan,1.95,160,90,4,4,0,2
Jakarta Utara,1.95,56,82,2,2,0,2
Jakarta Selatan,1.95,150,61,3,3,0,2
Jakarta Timur,1.95,90,70,2,1,1,1
Jakarta Barat,1.95,120,65,4,3,0,2
Jakarta Selatan,1.96,140,63,3,3,0,3
Jakarta Selatan,1.96,140,63,4,3,0,3
Jakarta Selatan,1.96,140,63,4,3,0,2
Jakarta Barat,1.98,115,82,3,3,1,2
Jakarta Barat,1.98,70,57,3,2,1,2
Jakarta Selatan,1.98,130,100,4,4,2,2
Jakarta Selatan,1.98,140,120,5,4,2,2
Jakarta Selatan,1.98,140,79,4,4,0,2.5
Jakarta Selatan,1.98,150,115,4,4,0,2
Jakarta Utara,1.98,76,60,3,3,0,2
Jakarta Timur,1.98,63,102,2,1,0,1
Jakarta Selatan,1.98,140,84,4,4,0,2
Jakarta Utara,1.98,120,60,3,3,0,2
Jakarta Barat,1.99,77,60,3,3,1,2
Jakarta Barat,1.99,102,74,3,3,2,2
Jakarta Barat,1.99,100,50,3,3,1,3
Jakarta Timur,1.99,63,90,4,2,1,1
Jakarta Barat,1.99,77,40,3,3,0,3
Jakarta Selatan,1.99,180,100,4,3,0,2
Jakarta Barat,2,180,90,2,2,0,2
Jakarta Barat,2,98,80,2,2,1,2
Jakarta Barat,2,90,90,2,2,1,2
Jakarta Barat,2,123,90,3,2,2,2
Jakarta Barat,2,150,75,3,3,1,2
Jakarta Barat,2,120,52,3,3,0,2
Jakarta Barat,2,120,90,3,3,2,2
Jakarta Barat,2,111,55,3,4,1,3
Jakarta Barat,2,120,52,3,3,1,3
Jakarta Timur,2,100,170,3,2,1,1
Jakarta Timur,2,150,128,3,2,1,2
Jakarta Timur,2,86,119,3,2,0,2
Jakarta Timur,2,200,140,3,2,1,2
Jakarta Timur,2,160,112,4,3,1,2
Jakarta Timur,2,180,136,4,3,1,2
Jakarta Timur,2,180,128,4,3,2,2
Jakarta Timur,2,180,144,4,3,1,2
Jakarta Timur,2,160,128,4,3,2,2
Jakarta Timur,2,75,90,4,3,1,2
Jakarta Timur,2,160,112,4,3,0,2
Jakarta Timur,2,150,186,5,2,0,1
Jakarta Utara,2,36,88,1,1,0,1
Jakarta Utara,2,125,67,4,2,0,3
Jakarta Utara,2,200,88,4,2,1,3
Jakarta Selatan,2,140,170,3,3,1,1
Jakarta Selatan,2,300,405,5,3,6,1
Jakarta Selatan,2,100,80,4,3,1,2
Jakarta Selatan,2,130,90,3,3,2,3
Jakarta Selatan,2,134,92,3,3,3,3
Jakarta Barat,2,81,324,10,10,1,4
Jakarta Barat,2,155,60,3,4,0,3
Jakarta Barat,2,130,60,3,3,1,3
Jakarta Barat,2,120,52,4,3,0,3
Jakarta Utara,2,88,40,2,2,0,3
Jakarta Selatan,2,220,128,4,3,1,2.5
Jakarta Utara,2,140,70,4,2,1,2.5
Jakarta Selatan,2,170,150,3,2,1,2
Jakarta Timur,2,67,148,3,2,0,2
Jakarta Timur,2,200,98,4,3,1,2
Jakarta Selatan,2,150,95,4,4,0,2
Jakarta Selatan,2,150,95,5,5,0,2
Jakarta Selatan,2,150,95,4,4,0,2
Jakarta Barat,2,110,60,3,3,0,2
Jakarta Selatan,2,100,144,3,1,0,1
Jakarta Selatan,2,90,120,5,1,1,1
Jakarta Selatan,2,70,97,4,1,0,1
Jakarta Barat,2,110,80,3,3,0,1
Jakarta Barat,2,174,93,3,3,0,2
Jakarta Barat,2,155,60,4,5,0,3
Jakarta Selatan,2.03,150,112,4,4,0,3
Jakarta Selatan,2.03,150,112,4,4,0,2.5
Jakarta Selatan,2.03,150,112,4,4,0,2.5
Jakarta Selatan,2.03,150,112,0,0,0,1
Jakarta Barat,2.05,80,90,3,2,1,2
Jakarta Barat,2.05,110,90,3,2,1,3
Jakarta Timur,2.05,175,128,3,2,2,1
Jakarta Utara,2.05,200,105,5,3,1,3
Jakarta Barat,2.05,150,68,4,3,1,3
Jakarta Utara,2.05,150,57,0,0,0,3
Jakarta Selatan,2.05,140,112,4,4,0,2
Jakarta Timur,2.07,80,86,3,3,0,2
Jakarta Timur,2.07,80,86,3,3,0,2
Jakarta Barat,2.1,150,90,2,2,1,2
Jakarta Barat,2.1,120,75,3,2,0,2
Jakarta Barat,2.1,140,100,3,3,2,2
Jakarta Barat,2.1,168,64,4,3,1,3
Jakarta Barat,2.1,132,64,4,3,1,3
Jakarta Pusat,2.1,180,63,5,3,1,4
Jakarta Pusat,2.1,180,63,5,3,1,4
Jakarta Timur,2.1,88,144,3,2,1,2
Jakarta Timur,2.1,128,120,3,3,0,2
Jakarta Timur,2.1,220,144,4,3,1,2
Jakarta Timur,2.1,220,144,4,3,1,2
Jakarta Utara,2.1,80,102,2,2,1,1
Jakarta Utara,2.1,135,75,3,2,1,2
Jakarta Utara,2.1,98,75,3,3,1,2
Jakarta Utara,2.1,150,82,3,3,2,3
Jakarta Utara,2.1,180,90,4,3,1,3
Jakarta Utara,2.1,170,75,4,4,0,3
Jakarta Selatan,2.1,120,112,3,2,2,2
Jakarta Selatan,2.1,120,92,4,3,2,2
Jakarta Selatan,2.1,200,100,5,3,1,2
Jakarta Selatan,2.1,180,67,3,2,1,3
Jakarta Selatan,2.1,180,67,3,2,1,3
Jakarta Selatan,2.1,180,67,3,2,1,3
Jakarta Selatan,2.1,180,67,3,2,1,3
Jakarta Selatan,2.1,180,67,3,2,1,3
Jakarta Selatan,2.1,150,50,3,2,1,3
Jakarta Timur,2.1,95,75,3,4,2,3
Jakarta Selatan,2.1,140,63,4,4,0,2.5
Jakarta Timur,2.1,200,200,3,3,2,2
Jakarta Selatan,2.1,180,125,4,4,0,2
Jakarta Barat,2.1,150,118,5,3,0,2
Jakarta Barat,2.1,150,118,5,3,0,2
Jakarta Selatan,2.1,130,113,4,4,0,2
Jakarta Timur,2.1,120,90,4,3,0,2
Jakarta Timur,2.1,110,90,3,3,0,2
Jakarta Selatan,2.1,130,88,4,3,0,2
Jakarta Selatan,2.1,148,72,4,4,0,2
Jakarta Selatan,2.1,250,150,4,3,2,1
Jakarta Barat,2.1,80,93,2,1,0,1
Jakarta Barat,2.15,132,92,5,2,1,3
Jakarta Timur,2.15,80,185,3,2,2,1
Jakarta Timur,2.15,180,144,4,3,2,2
Jakarta Selatan,2.15,160,107,4,4,1,2
Jakarta Selatan,2.15,180,64,4,4,1,3
Jakarta Selatan,2.15,180,64,4,4,1,3
Jakarta Selatan,2.15,180,64,4,4,1,3
Jakarta Selatan,2.15,180,64,4,4,1,3
Jakarta Selatan,2.15,180,64,4,4,1,3
Jakarta Selatan,2.15,150,64,4,4,1,3
Jakarta Selatan,2.15,150,64,4,4,1,3
Jakarta Selatan,2.15,150,64,4,4,1,3
Jakarta Selatan,2.15,150,64,3,4,1,3
Jakarta Barat,2.15,118,52,4,2,0,3
Jakarta Selatan,2.15,120,87,4,4,0,2
Jakarta Pusat,2.16,112,78,3,3,2,2
Jakarta Selatan,2.16,185,64,4,4,1,3
Jakarta Selatan,2.16,185,64,4,4,1,3
Jakarta Selatan,2.18,180,64,4,4,1,3
Jakarta Barat,2.2,88,60,2,2,0,2
Jakarta Barat,2.2,84,84,3,3,2,2
Jakarta Barat,2.2,145,88,3,3,0,2
Jakarta Barat,2.2,170,90,3,2,1,2
Jakarta Barat,2.2,150,64,3,3,1,3
Jakarta Barat,2.2,130,65,3,3,1,3
Jakarta Barat,2.2,120,60,3,3,0,3
Jakarta Barat,2.2,120,60,4,2,2,3
Jakarta Timur,2.2,63,102,3,1,1,1
Jakarta Timur,2.2,110,120,3,3,0,2
Jakarta Timur,2.2,111,119,3,2,1,2
Jakarta Timur,2.2,170,162,4,4,1,2
Jakarta Timur,2.2,108,130,4,3,1,2
Jakarta Timur,2.2,240,160,4,4,1,2
Jakarta Utara,2.2,102,102,3,2,0,2
Jakarta Utara,2.2,90,90,10,3,2,2
Jakarta Utara,2.2,100,60,3,3,1,3
Jakarta Utara,2.2,200,70,4,3,1,3
Jakarta Utara,2.2,110,50,4,4,0,3
Jakarta Utara,2.2,110,50,4,4,0,3
Jakarta Utara,2.2,135,71,8,2,1,3
Jakarta Selatan,2.2,128,330,4,2,0,1
Jakarta Selatan,2.2,120,60,2,2,0,2
Jakarta Selatan,2.2,150,117,3,2,1,2
Jakarta Selatan,2.2,160,94,4,4,2,2
Jakarta Selatan,2.2,180,121,4,4,2,2
Jakarta Selatan,2.2,240,133,11,6,0,2
Jakarta Selatan,2.2,170,79,4,5,1,3
Jakarta Selatan,2.2,186,108,4,3,1,3
Jakarta Selatan,2.2,200,83,4,4,0,3
Jakarta Selatan,2.2,200,83,4,4,0,3
Jakarta Selatan,2.2,170,75,4,4,1,3
Jakarta Utara,2.2,128,62,3,3,0,3
Jakarta Utara,2.2,80,90,3,2,0,2.5
Jakarta Selatan,2.2,200,83,4,4,0,2.5
Jakarta Selatan,2.2,200,83,4,4,0,2.5
Jakarta Selatan,2.2,200,83,3,3,2,2.5
Jakarta Selatan,2.2,175,75,4,4,1,2.5
Jakarta Selatan,2.2,100,197,4,2,0,2
Jakarta Selatan,2.2,150,139,4,4,1,2
Jakarta Selatan,2.2,150,139,4,4,1,2
Jakarta Selatan,2.2,150,139,4,4,1,2
Jakarta Selatan,2.2,150,139,4,4,1,2
Jakarta Selatan,2.2,160,121,5,3,0,2
Jakarta Selatan,2.2,150,120,4,3,1,2
Jakarta Selatan,2.2,120,119,4,3,0,2
Jakarta Selatan,2.2,120,119,4,3,0,2
Jakarta Selatan,2.2,120,119,4,3,0,2
Jakarta Selatan,2.2,120,117,4,3,0,2
Jakarta Selatan,2.2,170,116,5,5,0,2
Jakarta Selatan,2.2,160,115,5,5,0,2
Jakarta Utara,2.2,60,114,2,2,0,2
Jakarta Selatan,2.2,150,108,3,3,2,2
Jakarta Selatan,2.2,160,106,4,2,0,2
Jakarta Selatan,2.2,157,101,3,3,0,2
Jakarta Timur,2.2,120,90,4,3,0,2
Jakarta Selatan,2.2,200,83,4,4,0,2
Jakarta Timur,2.2,100,69,3,3,0,2
Jakarta Timur,2.2,150,202,3,3,1,1.5
Jakarta Barat,2.2,160,131,4,2,1,1.5
Jakarta Utara,2.2,375,375,6,6,0,1
Jakarta Timur,2.2,103,138,4,2,0,1
Jakarta Selatan,2.2,150,139,0,0,0,1
Jakarta Timur,2.2,156,90,4,3,0,2
Jakarta Utara,2.2,87,45,3,3,0,2
Jakarta Selatan,2.2,200,83,0,0,0,2
Jakarta Barat,2.25,105,105,3,2,1,2
Jakarta Barat,2.25,120,90,3,2,2,2
Jakarta Barat,2.25,110,74,3,3,1,3
Jakarta Barat,2.25,162,76,3,3,0,3
Jakarta Barat,2.25,200,144,4,2,2,3
Jakarta Pusat,2.25,200,105,4,3,1,2
Jakarta Timur,2.25,200,150,4,3,1,1
Jakarta Timur,2.25,150,120,3,3,1,2
Jakarta Utara,2.25,102,102,2,1,0,1
Jakarta Utara,2.25,100,90,3,2,1,2
Jakarta Utara,2.25,250,75,3,3,1,3
Jakarta Timur,2.25,175,120,5,4,0,5
Jakarta Selatan,2.25,130,77,4,4,0,3
Jakarta Selatan,2.25,120,77,4,4,0,3
Jakarta Barat,2.25,171,61,4,3,0,3
Jakarta Selatan,2.25,200,134,4,3,0,2
Jakarta Selatan,2.25,149,108,5,4,0,2
Jakarta Selatan,2.25,150,106,4,4,0,2
Jakarta Timur,2.25,200,231,3,2,0,1
Jakarta Selatan,2.27,97,71,3,3,2,2
Jakarta Barat,2.29,130,83,3,3,1,2
Jakarta Barat,2.29,150,56,3,3,0,3
Jakarta Utara,2.29,160,102,6,3,0,2
Jakarta Selatan,2.29,97,72,3,3,2,2
Jakarta Selatan,2.29,150,93,4,3,2,2
Jakarta Selatan,2.29,92,90,3,3,0,2
Jakarta Selatan,2.29,92,87,3,3,0,2
Jakarta Selatan,2.29,92,87,3,3,0,2
Jakarta Barat,2.3,10,138,1,1,1,1
Jakarta Barat,2.3,154,77,4,2,0,1
Jakarta Barat,2.3,200,72,4,3,1,1
Jakarta Barat,2.3,120,90,3,3,1,2
Jakarta Barat,2.3,120,90,3,3,2,2
Jakarta Barat,2.3,120,96,4,2,1,2
Jakarta Barat,2.3,140,126,4,3,0,2
Jakarta Barat,2.3,140,94,4,4,1,2
Jakarta Barat,2.3,120,90,4,2,2,2
Jakarta Barat,2.3,120,90,4,3,1,2
Jakarta Barat,2.3,145,102,4,4,0,2
Jakarta Barat,2.3,220,180,4,3,3,2
Jakarta Barat,2.3,160,120,4,2,2,2
Jakarta Barat,2.3,216,132,4,2,1,2
Jakarta Barat,2.3,202,90,4,3,2,2
Jakarta Barat,2.3,150,88,4,3,0,3
Jakarta Barat,2.3,180,100,4,3,1,3
Jakarta Timur,2.3,118,144,3,3,2,2
Jakarta Timur,2.3,156,148,3,3,1,2
Jakarta Timur,2.3,156,148,3,3,1,2
Jakarta Timur,2.3,256,148,3,3,1,2
Jakarta Timur,2.3,156,148,3,3,1,2
Jakarta Timur,2.3,1156,148,3,3,1,2
Jakarta Timur,2.3,156,148,3,3,1,2
Jakarta Timur,2.3,122,105,3,3,1,2
Jakarta Timur,2.3,156,148,3,3,1,2
Jakarta Timur,2.3,180,129,3,3,1,2
Jakarta Timur,2.3,170,136,3,3,1,2
Jakarta Timur,2.3,250,144,4,3,1,2
Jakarta Timur,2.3,180,180,4,2,1,2
Jakarta Timur,2.3,95,120,4,2,2,2
Jakarta Timur,2.3,90,90,4,3,1,2
Jakarta Timur,2.3,128,120,4,4,1,2
Jakarta Utara,2.3,216,180,2,1,1,1
Jakarta Utara,2.3,170,105,3,2,2,1
Jakarta Utara,2.3,180,180,6,3,1,1
Jakarta Utara,2.3,132,90,3,2,2,2
Jakarta Utara,2.3,100,67,3,2,1,2
Jakarta Utara,2.3,180,121,3,4,1,2
Jakarta Utara,2.3,120,120,3,3,1,2
Jakarta Utara,2.3,132,92,3,2,1,2
Jakarta Utara,2.3,124,90,3,2,1,2
Jakarta Utara,2.3,135,67,3,2,1,2
Jakarta Utara,2.3,102,102,8,3,2,2
Jakarta Utara,2.3,88,88,3,2,0,3
Jakarta Selatan,2.3,150,72,3,3,1,2
Jakarta Selatan,2.3,255,155,3,2,1,2
Jakarta Selatan,2.3,145,100,3,2,2,2
Jakarta Selatan,2.3,144,126,3,3,2,2
Jakarta Selatan,2.3,140,70,3,3,2,3
Jakarta Selatan,2.3,230,124,5,5,0,3
Jakarta Timur,2.3,160,90,5,3,1,2.5
Jakarta Utara,2.3,200,150,4,4,0,2
Jakarta Selatan,2.3,159,120,4,4,0,2
Jakarta Selatan,2.3,159,120,4,4,0,2
Jakarta Selatan,2.3,159,120,3,3,0,2
Jakarta Selatan,2.3,159,120,3,4,0,2
Jakarta Selatan,2.3,159,120,4,4,0,2
Jakarta Timur,2.3,160,115,3,3,0,2
Jakarta Selatan,2.3,140,110,3,3,0,2
Jakarta Selatan,2.3,140,107,3,3,0,2
Jakarta Selatan,2.3,140,105,4,3,0,2
Jakarta Selatan,2.3,180,104,4,4,1,2
Jakarta Selatan,2.3,140,104,4,4,0,2
Jakarta Selatan,2.3,140,104,3,3,0,2
Jakarta Selatan,2.3,140,104,4,4,0,2
Jakarta Selatan,2.3,180,90,3,3,0,2
Jakarta Barat,2.3,130,83,3,2,0,2
Jakarta Selatan,2.3,130,72,4,4,0,2
Jakarta Selatan,2.3,97,72,3,3,0,2
Jakarta Barat,2.3,90,63,2,2,0,1.5
Jakarta Selatan,2.3,180,259,3,2,0,1
Jakarta Timur,2.3,60,78,2,2,0,1
Jakarta Barat,2.3,98,77,7,7,0,1
Jakarta Selatan,2.3,140,104,0,0,0,1
Jakarta Timur,2.3,260,161,6,4,0,2
Jakarta Barat,2.33,110,60,3,2,1,2
Jakarta Utara,2.33,110,45,3,3,0,3
Jakarta Barat,2.35,100,150,3,2,1,1
Jakarta Barat,2.35,120,90,4,3,1,2
Jakarta Barat,2.35,120,96,4,2,1,2
Jakarta Barat,2.35,147,67,3,3,1,3
Jakarta Barat,2.35,165,56,4,4,1,3
Jakarta Barat,2.35,183,68,4,4,1,3
Jakarta Barat,2.35,183,68,5,4,2,3
Jakarta Barat,2.35,190,60,4,4,2,4
Jakarta Pusat,2.35,90,135,2,2,1,1
Jakarta Pusat,2.35,153,85,1,2,0,2
Jakarta Timur,2.35,240,136,3,3,2,2
Jakarta Timur,2.35,240,136,3,3,1,2
Jakarta Timur,2.35,120,120,3,3,1,2
Jakarta Timur,2.35,240,136,5,3,2,2
Jakarta Utara,2.35,107,75,3,3,2,2
Jakarta Selatan,2.35,105,90,3,2,1,2
Jakarta Barat,2.35,260,189,8,6,2,2
Jakarta Timur,2.35,218,152,5,3,0,2
Jakarta Selatan,2.35,188,116,3,3,0,2
Jakarta Selatan,2.35,188,116,4,3,0,2
Jakarta Selatan,2.35,188,116,3,3,0,2
Jakarta Selatan,2.35,188,116,3,3,0,2
Jakarta Selatan,2.35,160,116,4,4,0,2
Jakarta Selatan,2.35,160,108,4,4,0,2
Jakarta Selatan,2.35,160,108,4,4,0,2
Jakarta Selatan,2.35,160,108,4,4,0,2
Jakarta Selatan,2.35,160,108,4,4,0,2
Jakarta Selatan,2.35,160,108,4,4,0,2
Jakarta Selatan,2.35,100,88,4,4,0,2
Jakarta Selatan,2.35,100,88,3,3,0,2
Jakarta Timur,2.35,150,84,3,3,0,2
Jakarta Utara,2.35,78,111,3,2,0,1
Jakarta Pusat,2.38,102,119,2,2,0,1
Jakarta Pusat,2.38,102,119,2,2,0,1
Jakarta Barat,2.39,160,58,3,3,1,3
Jakarta Barat,2.39,200,72,4,4,1,3
Jakarta Barat,2.4,90,135,3,2,1,1
Jakarta Barat,2.4,150,105,4,4,1,2
Jakarta Barat,2.4,175,100,4,3,1,2
Jakarta Barat,2.4,160,60,4,5,1,2
Jakarta Barat,2.4,150,100,4,3,1,3
Jakarta Timur,2.4,99,160,4,4,0,1
Jakarta Timur,2.4,200,134,5,3,0,1
Jakarta Timur,2.4,250,160,3,3,2,2
Jakarta Timur,2.4,250,160,3,2,1,2
Jakarta Timur,2.4,250,160,3,2,1,2
Jakarta Timur,2.4,168,112,4,4,2,2
Jakarta Timur,2.4,230,96,3,2,1,3
Jakarta Utara,2.4,81,57,2,2,1,2
Jakarta Utara,2.4,80,80,3,2,2,2
Jakarta Utara,2.4,108,75,3,3,1,2
Jakarta Utara,2.4,107,75,3,3,2,2
Jakarta Utara,2.4,75,75,4,4,1,2
Jakarta Selatan,2.4,150,130,4,2,2,1
Jakarta Selatan,2.4,160,72,3,3,1,2
Jakarta Selatan,2.4,240,127,3,3,0,3
Jakarta Selatan,2.4,130,72,3,3,0,3
Jakarta Selatan,2.4,130,72,3,3,0,3
Jakarta Selatan,2.4,130,72,3,3,0,3
Jakarta Selatan,2.4,130,72,3,4,0,3
Jakarta Barat,2.4,144,90,3,2,0,2.5
Jakarta Barat,2.4,230,78,1,2,2,2.5
Jakarta Selatan,2.4,190,120,4,3,0,2
Jakarta Selatan,2.4,150,105,3,3,1,2
Jakarta Selatan,2.4,125,95,3,2,0,2
Jakarta Timur,2.4,117,115,0,0,0,1
Jakarta Selatan,2.4,180,110,3,3,0,2
Jakarta Timur,2.4,240,135,4,2,0,2
Jakarta Barat,2.4,135,67,3,3,0,2
Jakarta Barat,2.45,150,180,3,3,2,1
Jakarta Barat,2.45,120,150,5,2,1,1
Jakarta Barat,2.45,170,125,3,3,1,2
Jakarta Barat,2.45,160,120,3,3,2,2
Jakarta Barat,2.45,170,125,4,3,0,2
Jakarta Barat,2.45,150,90,3,3,1,3
Jakarta Barat,2.45,150,78,3,3,1,3
Jakarta Barat,2.45,180,90,3,3,1,3
Jakarta Barat,2.45,160,68,3,3,1,3
Jakarta Barat,2.45,200,75,4,3,1,3
Jakarta Barat,2.45,195,108,4,3,2,2
Jakarta Timur,2.45,125,120,3,2,0,2
Jakarta Timur,2.45,130,87,4,3,2,2
Jakarta Timur,2.45,130,87,4,3,2,2
Jakarta Timur,2.45,150,180,4,3,1,2
Jakarta Timur,2.45,135,110,4,3,1,2
Jakarta Utara,2.45,100,80,3,3,1,2
Jakarta Utara,2.45,132,128,4,3,1,1
Jakarta Selatan,2.45,150,141,4,2,2,1
Jakarta Selatan,2.45,180,146,2,2,0,2
Jakarta Selatan,2.45,120,85,3,3,2,2
Jakarta Barat,2.45,200,173,4,3,0,2
Jakarta Barat,2.45,200,173,5,4,0,2
Jakarta Barat,2.45,130,144,4,4,0,2
Jakarta Pusat,2.45,169,102,3,2,0,2
Jakarta Timur,2.47,81,58,2,2,0,2
Jakarta Barat,2.49,150,90,3,4,1,3
Jakarta Barat,2.49,150,72,5,4,1,3
Jakarta Barat,2.49,168,67,3,3,1,4
Jakarta Timur,2.49,360,630,3,3,3,1
Jakarta Timur,2.49,400,496,5,3,2,2
Jakarta Utara,2.49,79,60,2,1,1,2
Jakarta Selatan,2.49,175,210,5,4,1,2
Jakarta Barat,2.5,210,220,2,2,2,1
Jakarta Barat,2.5,150,200,3,3,0,1
Jakarta Barat,2.5,120,140,3,2,2,1
Jakarta Barat,2.5,98,105,3,3,1,1
Jakarta Barat,2.5,120,90,3,2,0,1
Jakarta Barat,2.5,128,296,3,3,3,1
Jakarta Barat,2.5,88,90,3,2,1,1
Jakarta Barat,2.5,88,90,3,2,1,1
Jakarta Barat,2.5,140,88,4,4,0,1
Jakarta Barat,2.5,150,210,7,3,2,1
Jakarta Barat,2.5,150,210,7,3,2,1
Jakarta Barat,2.5,210,220,2,2,2,2
Jakarta Barat,2.5,168,120,3,3,1,2
Jakarta Barat,2.5,160,90,3,3,1,2
Jakarta Barat,2.5,140,125,3,2,2,2
Jakarta Barat,2.5,95,84,3,2,2,2
