URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.rumah123.com/properti/jakarta-barat/hos16403823/,"Meruya, Jakarta Barat","Rp 2,15 Miliar",130 m²,100 m²,3,3,2,1
https://www.rumah123.com/properti/jakarta-barat/hos19059781/,"Green garden, Jakarta Barat","Rp 4,7 Miliar",315 m²,144 m²,3,4,1,3
https://www.rumah123.com/properti/jakarta-selatan/hos19225441/,"Tebet, Jakarta Selatan","Rp 3,95 Miliar",216 m²,135 m²,5,4,1,1
https://www.rumah123.com/properti/jakarta-timur/hos18928229/,"Cibubur, Jakarta Timur","Rp 4,3 Miliar",300 m²,300 m²,8,6,-,2
https://www.rumah123.com/properti/jakarta-utara/hos7445263/,"Pantai Indah Kapuk, Jakarta Utara","Rp 3,95 Miliar",160 m²,120 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos39126748/,"Puri Indah, Jakarta Barat","Rp 6,2 Miliar",300 m²,200 m²,5,3,-,1
https://www.rumah123.com/properti/jakarta-timur/hos39126705/,"Kramat Jati, Jakarta Timur","Rp 3,3 Miliar",250 m²,139 m²,4,3,1,2
https://www.rumah123.com/properti/jakarta-barat/hos19015274/,"Metland Puri, Jakarta Barat","Rp 3,6 Miliar",115 m²,120 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-pusat/hos39126739/,"Cideng, Jakarta Pusat","Rp 7,8 Miliar",200 m²,200 m²,4,3,1,2
https://www.rumah123.com/properti/jakarta-timur/hos38848025/,"Jatiwaringin, Jakarta Timur","Rp 1,79 Miliar",288 m²,264 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-timur/hos17652221/,"Jatiwaringin, Jakarta Timur","Rp 1,79 Miliar",177 m²,138 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-timur/hos19270586/,"Jatiwaringin, Jakarta Timur","Rp 3,1 Miliar",175 m²,399 m²,3,3,-,1
https://www.rumah123.com/properti/jakarta-selatan/hos18238914/,"Petukangan, Jakarta Selatan","Rp 6,75 Miliar",204 m²,312 m²,6,4,-,2
https://www.rumah123.com/properti/jakarta-barat/hos39126721/,"Citra Garden, Jakarta Barat","Rp 4,2 Miliar",300 m²,152 m²,3,4,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos19281083/,"Radio Dalam, Jakarta Selatan","Rp 3,5 Miliar",280 m²,148 m²,3,3,2,1
