URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.properti123.com/properti-jual/42865-rumah-bagus-siap-huni-cluster-sentarum-asya-jakarta-garden-city-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 4.35 Milliar,171m2,126m2,4,4,0,3.00
https://www.properti123.com/properti-jual/42852-rumah-hoek-cocok-bangun-kost-pancoran-timur-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 12 Milliar,300m2,486m2,4,2,0,1.00
https://www.properti123.com/properti-jual/42844-rumah-1-lantai-dan-kost-28-kamar-lokasi-strategis-di-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 25 Milliar,600m2,426m2,28,2,0,
https://www.properti123.com/properti-jual/42840-dijual-rumah-hak-milik-di-area-jagakarsa,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.5 Milliar,200m2,120m2,3,4,0,2.00
https://www.properti123.com/properti-jual/42833-dijual-rumah-lokasi-di-kota-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 5 Milliar,150m2,162m2,16,5,1,2.50
https://www.properti123.com/properti-jual/42828-rumah-dapur-catering-kelapa-gading-jakarta-utara,"Kota Jakarta Utara, Dki Jakarta",Rp 3.7 Milliar,235m2,165m2,3,2,0,2.00
https://www.properti123.com/properti-jual/42818-rumah-shm-dijual-harga-8-milyaran-nego-di-pancoran,"Kota Jakarta Selatan, Dki Jakarta",Rp 8.2 Milliar,300m2,320m2,8,1,0,2.00
https://www.properti123.com/properti-jual/42812-rumah-luas-strategis-jalan-lebak-bulus-raya-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 124.5 Milliar,"1,000m2","4,980m2",10,7,5,
https://www.properti123.com/properti-jual/42811-dekat-stasiun-cawang-rumah-yang-nyaman-dan-mudah-diakses,"Kota Jakarta Selatan, Dki Jakarta",Rp 4 Milliar,150m2,156m2,5,5,0,2.00
https://www.properti123.com/properti-jual/42782-dijual-rumah-bagus-2lt-8x15-5m-di-condet-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.7 Milliar,250m2,125m2,5,3,0,2.00
https://www.properti123.com/properti-jual/43240-rumah-3-kamar-tidur-perumahan-pulo-gebang-permai-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.5 Milliar,100m2,151m2,3,3,0,1.00
https://www.properti123.com/properti-jual/42771-rumah-2-lantai-zeins-adhiasta-cibubur-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.4 Milliar,100m2,80m2,4,2,0,2.00
https://www.properti123.com/properti-jual/42767-rumah-sangat-cantik-dan-idealis-di-area-menteng-dalam,"Kota Jakarta Selatan, Dki Jakarta",Rp 8.5 Milliar,200m2,315m2,3,3,1,1.50
https://www.properti123.com/properti-jual/42748-properti-untuk-investasi-di-dekat-stasiun-krl-tebet,"Kota Jakarta Selatan, Dki Jakarta",Rp 53 Milliar,693m2,"1,069m2",9,4,0,2.00
