URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.rumah123.com/properti/jakarta-selatan/hos17576409/,"Pasar Minggu, Jakarta Selatan","Rp 2,4 Miliar",160 m²,72 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-utara/hos17760691/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 7,3 Miliar",224 m²,200 m²,4,4,2,2
https://www.rumah123.com/properti/jakarta-utara/hos19477021/,"Pantai Indah Kapuk, Jakarta Utara","Rp 8,5 Miliar",500 m²,250 m²,4,4,1,3
https://www.rumah123.com/properti/jakarta-utara/hos10079375/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 2,8 Miliar",119 m²,90 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-utara/hos39001020/,"Pantai Indah Kapuk, Jakarta Utara","Rp 11,5 Miliar",275 m²,180 m²,3,3,2,4
https://www.rumah123.com/properti/jakarta-barat/hos19404692/,"Joglo, Jakarta Barat","Rp 1,5 Miliar",73 m²,189 m²,2,1,1,1
https://www.rumah123.com/properti/jakarta-barat/hos39066934/,"Joglo, Jakarta Barat","Rp 2,5 Miliar",168 m²,120 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-utara/hos12705875/,"Pluit, Jakarta Utara","Rp 6,5 Miliar",300 m²,200 m²,4,5,2,2
https://www.rumah123.com/properti/jakarta-utara/hos18034857/,"Pluit, Jakarta Utara",Rp 12 Miliar,900 m²,325 m²,5,5,2,4
https://www.rumah123.com/properti/jakarta-utara/hos3404434/,"Pluit, Jakarta Utara","Rp 9,5 Miliar",550 m²,325 m²,5,4,2,2
https://www.rumah123.com/properti/jakarta-utara/hos14483664/,"Pluit, Jakarta Utara","Rp 11,5 Miliar",450 m²,360 m²,5,3,2,3
https://www.rumah123.com/properti/jakarta-utara/hos19029498/,"Muara Karang, Jakarta Utara","Rp 3,99 Miliar",200 m²,200 m²,2,2,2,2
https://www.rumah123.com/properti/jakarta-utara/hos14965180/,"Pluit, Jakarta Utara","Rp 14,6 Miliar",650 m²,340 m²,5,5,2,3
https://www.rumah123.com/properti/jakarta-utara/hos38845371/,"Sunter, Jakarta Utara","Rp 2,7 Miliar",200 m²,96 m²,3,2,2,3
https://www.rumah123.com/properti/jakarta-utara/hos19088124/,"Pluit, Jakarta Utara","Rp 8,9 Miliar",500 m²,200 m²,6,5,4,4
https://www.rumah123.com/properti/jakarta-utara/hos19203444/,"Muara Karang, Jakarta Utara","Rp 5,5 Miliar",240 m²,120 m²,5,4,2,3
https://www.rumah123.com/properti/jakarta-utara/hos19254095/,"Pluit, Jakarta Utara","Rp 4,7 Miliar",220 m²,220 m²,2,2,2,1
https://www.rumah123.com/properti/jakarta-utara/hos15311215/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 2,5 Miliar",107 m²,75 m²,3,3,-,2
https://www.rumah123.com/properti/jakarta-utara/hos18210306/,"Pluit, Jakarta Utara","Rp 4,5 Miliar",390 m²,162 m²,4,3,2,3
https://www.rumah123.com/properti/jakarta-barat/hos38938354/,"Meruya, Jakarta Barat","Rp 1,95 Miliar",60 m²,60 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-utara/hos19367737/,"Pluit, Jakarta Utara","Rp 5,7 Miliar",220 m²,220 m²,3,2,1,2
https://www.rumah123.com/properti/jakarta-utara/hos19427963/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 1,6 Miliar",87 m²,45 m²,3,3,1,3
https://www.rumah123.com/properti/jakarta-utara/hos19538251/,"Sunter, Jakarta Utara",Rp 12 Miliar,750 m²,250 m²,4,6,2,4
https://www.rumah123.com/properti/jakarta-utara/hos17368714/,"Sunter, Jakarta Utara","Rp 5,1 Miliar",260 m²,160 m²,4,4,2,2
https://www.rumah123.com/properti/jakarta-utara/hos38908361/,"Sunter, Jakarta Utara","Rp 8,5 Miliar",550 m²,200 m²,6,8,2,4
https://www.rumah123.com/properti/jakarta-selatan/hos18477262/,"Pesanggrahan, Jakarta Selatan","Rp 6,95 Miliar",500 m²,404 m²,4,4,2,-
https://www.rumah123.com/properti/jakarta-timur/hos39116640/,"Pulomas, Jakarta Timur","Rp 4,23 Miliar",300 m²,187 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos19070799/,"Fatmawati, Jakarta Selatan","Rp 8,5 Miliar",400 m²,561 m²,5,3,2,2
https://www.rumah123.com/properti/jakarta-utara/hos18695727/,"Pantai Mutiara, Jakarta Utara",Rp 28 Miliar,500 m²,500 m²,4,5,6,2
https://www.rumah123.com/properti/jakarta-pusat/hos39116634/,"Kemayoran, Jakarta Pusat",Rp 16 Miliar,900 m²,450 m²,8,6,-,1
https://www.rumah123.com/properti/jakarta-selatan/hos18914664/,"Cinere, Jakarta Selatan","Rp 4,7 Miliar",235 m²,205 m²,6,4,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos14960457/,"Pejaten, Jakarta Selatan",Rp 28 Miliar,800 m²,1036 m²,4,5,-,1
https://www.rumah123.com/properti/jakarta-barat/hos18699081/,"Kav DKI, Jakarta Barat","Rp 2,05 Miliar",110 m²,90 m²,3,2,1,3
https://www.rumah123.com/properti/jakarta-barat/hos19470278/,"Kav DKI, Jakarta Barat","Rp 2,6 Miliar",160 m²,112 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos39116603/,"Simprug, Jakarta Selatan","Rp 6,8 Miliar",280 m²,200 m²,13,13,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos15161168/,"Panglima Polim, Jakarta Selatan","Rp 15,5 Miliar",276 m²,276 m²,4,4,1,1
https://www.rumah123.com/properti/jakarta-utara/hos39106671/,"Kelapa Gading, Jakarta Utara","Rp 3,8 Miliar",280 m²,102 m²,5,5,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos19209837/,"Kebayoran Baru, Jakarta Selatan",Rp 70 Miliar,500 m²,910 m²,4,3,2,1
https://www.rumah123.com/properti/jakarta-selatan/hos39116601/,"Kemang, Jakarta Selatan",Rp 17 Miliar,400 m²,822 m²,4,4,-,1
https://www.rumah123.com/properti/jakarta-pusat/hos18603771/,"Senen, Jakarta Pusat",Rp 11 Miliar,410 m²,410 m²,5,4,5,2
https://www.rumah123.com/properti/jakarta-selatan/hos39108709/,"Tanjung Barat, Jakarta Selatan",Rp 6 Miliar,133 m²,220 m²,3,3,2,1
https://www.rumah123.com/properti/jakarta-timur/hos39116549/,"Cijantung, Jakarta Timur","Rp 1,8 Miliar",150 m²,95 m²,5,3,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos39116591/,"Sektor 1 - Bintaro, Jakarta Selatan",Rp 3 Miliar,200 m²,178 m²,4,4,-,2
https://www.rumah123.com/properti/jakarta-utara/hos19129707/,"Pluit, Jakarta Utara","Rp 3,75 Miliar",200 m²,75 m²,6,6,-,4
https://www.rumah123.com/properti/jakarta-timur/hos38864096/,"Ciracas, Jakarta Timur","Rp 1,63 Miliar",130 m²,72 m²,5,4,2,2
https://www.rumah123.com/properti/jakarta-barat/hos19552080/,"Kalideres, Jakarta Barat",Rp 900 Juta,120 m²,60 m²,2,2,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos14156374/,"Kebayoran Baru, Jakarta Selatan",Rp 34 Miliar,600 m²,820 m²,5,5,-,-
https://www.rumah123.com/properti/jakarta-selatan/hos38953567/,"Pejaten, Jakarta Selatan",Rp 35 Miliar,650 m²,1230 m²,5,5,2,1
https://www.rumah123.com/properti/jakarta-utara/hos39116555/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 2,6 Miliar",103 m²,75 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-timur/hos39116553/,"Jatinegara, Jakarta Timur","Rp 3,15 Miliar",240 m²,180 m²,4,2,1,2
https://www.rumah123.com/properti/jakarta-timur/hos18822245/,"Rawamangun, Jakarta Timur",Rp 11 Miliar,515 m²,334 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-utara/hos39116551/,"Pantai Indah Kapuk, Jakarta Utara","Rp 22,5 Miliar",600 m²,546 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos39063177/,"Jagakarsa, Jakarta Selatan","Rp 2,2 Miliar",128 m²,330 m²,4,2,-,1
https://www.rumah123.com/properti/jakarta-timur/hos19463897/,"Cibubur, Jakarta Timur","Rp 1,69 Miliar",100 m²,160 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-utara/hos38910651/,"Golf Island, Jakarta Utara","Rp 10,8 Miliar",300 m²,200 m²,3,4,2,2
https://www.rumah123.com/properti/jakarta-timur/hos19521827/,"Legenda Wisata, Jakarta Timur","Rp 1,59 Miliar",100 m²,160 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos38938041/,"Meruya, Jakarta Barat","Rp 1,95 Miliar",64 m²,64 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos39116542/,"Lebak Bulus, Jakarta Selatan",Rp 770 Juta,72 m²,64 m²,3,2,-,2
https://www.rumah123.com/properti/jakarta-selatan/hos38962261/,"Pondok Indah, Jakarta Selatan","Rp 6,9 Miliar",200 m²,160 m²,3,4,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos19468086/,"Tebet, Jakarta Selatan",Rp 16 Miliar,600 m²,876 m²,4,4,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos9282175/,"Pondok Labu, Jakarta Selatan","Rp 63,5 Miliar",500 m²,5297 m²,4,4,4,2
https://www.rumah123.com/properti/jakarta-selatan/hos39116540/,"Pondok Pinang, Jakarta Selatan","Rp 6,5 Miliar",200 m²,298 m²,3,3,2,1
