URL,Lokasi,Harga
https://www.properti123.com/properti-jual/43240-rumah-3-kamar-tidur-perumahan-pulo-gebang-permai-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.5 Milliar
https://www.properti123.com/properti-sewa/43226-rumah-8x15-cluster-metland-menteng-cakung-dekat-jgc-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 45 Juta
https://www.properti123.com/properti-sewa/43216-sewa-rumah-cluster-di-green-permata-ulujami-pesanggrahan-jakarta,"Kota Jakarta Selatan, Dki Jakarta",Rp 99.5 Juta
https://www.properti123.com/properti-jual/43188-rumah-harga-rp-2-m-an-di-menteng-dalam,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.95 Milliar
https://www.properti123.com/properti-jual/43165-rumah-dijual-condet-kramat-jati-jakarta-timur-rumah-siap-huni,"Kota Jakarta Timur, Dki Jakarta",Rp 970 Juta
https://www.properti123.com/properti-jual/43161-vila-sarimas-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 4.7 Milliar
https://www.properti123.com/properti-jual/43150-di-jual-rumah-siap-huni-di-pusat-kota-jakarta-startegis,"Kota Jakarta Pusat, Dki Jakarta",Rp 7 Milliar
https://www.properti123.com/properti-jual/43121-jual-rumah-tinggal-empat-lantai-baru-renovasi-di-ketapang-utara-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 2.9 Milliar
https://www.properti123.com/properti-jual/43099-rumah-keluarga-di-persada-raya-menteng-dalam-strategis-hangat-penuh-karakter,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.8 Milliar
https://www.properti123.com/properti-jual/43098-rumah-estetik-2-lt-pool-dekat-tol-cijago-desari-nego-aluss,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.4 Milliar
https://www.properti123.com/properti-jual/43085-rumah-hook-shm-di-sumur-batu-jakarta-pusat,"Kota Jakarta Pusat, Dki Jakarta",Rp 4.5 Milliar
https://www.properti123.com/properti-jual/43059-dijual-rumah-2lt-type-5kt-4km-di-kelapa-gading-jakarta-utara,"Kota Jakarta Utara, Dki Jakarta",Rp 6.3 Milliar
https://www.properti123.com/properti-jual/43058-rumah-siap-huni-luas-482m-type-4kt-di-rawamangun-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 11 Milliar
https://www.properti123.com/properti-jual/43053-apartemen-cleon-park-type-studio-furnished-32m-di-jgc-cakung,"Kota Jakarta Timur, Dki Jakarta",Rp 55 Juta
https://www.properti123.com/properti-jual/43050-di-jual-rumah-daerah-pasar-minggu-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 17 Milliar
https://www.properti123.com/properti-jual/43043-dijual-rumah-kelapa-gading-pegangsaan,"Kota Jakarta Utara, Dki Jakarta",Rp 3.7 Milliar
https://www.properti123.com/properti-jual/43035-di-jual-rumah-di-pondok-kelapa-duren-sawit-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.5 Milliar
https://www.properti123.com/properti-jual/43034-di-jual-rumah-di-komp-perumahan-pemda-duren-sawai-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.85 Milliar
https://www.properti123.com/properti-jual/43017-rumah-modern-plus-private-pool-di-cipinang-kebembem-jaktim,"Kota Jakarta Timur, Dki Jakarta",Rp 8.5 Milliar
https://www.properti123.com/properti-jual/43015-rumah-second-strategis-bebas-banjir-di-pondok-kelapa-jaktim,"Kota Jakarta Timur, Dki Jakarta",Rp 4.9 Milliar
https://www.properti123.com/properti-jual/43005-rumah-cluster-palm-spring-jakarta-garden-city-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 3.59 Milliar
